subject,course_code,type,course_title,weekdays,time,instructors,location
SOCI,254,Conference,Development and Underdevelopment.,W,03:35 pm-04:25 pm,Mehri Ghazanjani,EDUC 539
SOCI,307,Lecture,Globalization.,TR,01:05 pm-02:25 pm,Andrew Hills,STBIO N2/2
SOCI,309,Lecture,Health and Illness.,TR,10:05 am-11:25 am,Amélie Quesnel Vallée,LEA 219
SOCI,321,Lecture,Gender and Work.,MWF,02:35 pm-03:25 pm,Elaine Susan Weiner,ENGMD 279
SOCI,321,Lecture,Gender and Work.,R,02:35 pm-03:25 pm,Elaine Susan Weiner,ENGMD 279
SOCI,330,Lecture,Sociological Theory.,TR,10:05 am-11:25 am,Jennifer Elrick,MDHAR G-10
SOCI,375,Lecture,Suspect Minorities in Canada.,TR,02:35 pm-03:55 pm,Morton Weinfeld,STBIO S3/3
SOCI,386,Lecture,Contemporary Social Movements.,MWF,03:35 pm-04:25 pm,Mehri Ghazanjani,ENGMD 279
SOCI,386,Lecture,Contemporary Social Movements.,R,03:35 pm-04:25 pm,Mehri Ghazanjani,ENGMD 279
SOCI,388,Lecture,Crime.,TR,01:05 pm-02:25 pm,Jan Doering,SADB 2/36
SOCI,405,Seminar,Families over the Life Course.,M,09:35 am-11:25 am,Sarah Rachel Brauner-Otto,LEA 721
SOCI,405,Seminar,Families over the Life Course.,W,09:35 am-11:25 am,Sarah Rachel Brauner-Otto,LEA 721
SOCI,420,Lecture,Organizations.,W,09:35 am-11:25 am,Michael R Smith,RPHYS 114
SOCI,461,Lecture,Quantitative Data Analysis.,TR,04:05 pm-05:25 pm,Aniruddha Das,LEA 212
SOCI,475,Seminar,Canadian Ethnic Studies Seminar.,T,11:35 am-01:25 pm,Morton Weinfeld,LEA 808
SOCI,477,Seminar,Qualitative Methods in Sociology.,M,11:35 am-02:25 pm,Jan Doering,LEA 834
SOCI,477,Seminar,Qualitative Methods in Sociology.,W,11:35 am-02:25 pm,Jan Doering,LEA 834
SOCI,502,Seminar,Sociology of Fertility.,M,01:35 pm-03:25 pm,Sarah Rachel Brauner-Otto,LEA 808
SOCI,502,Seminar,Sociology of Fertility.,W,01:35 pm-03:25 pm,Sarah Rachel Brauner-Otto,LEA 808
SOCI,507,Seminar,Social Change.,M,09:35 am-11:25 am,Matthew Keith Lange,LEA 819
SOCI,507,Seminar,Social Change.,W,09:35 am-11:25 am,Matthew Keith Lange,LEA 819
SOCI,514,Seminar,Criminology.,T,09:35 am-11:25 am,Jason Thomas Carmichael,LEA 808
SOCI,520,Lecture,Migration and Immigrant Groups.,T,11:35 am-01:25 pm,Zoua Vang,LEA 834
SOCI,540,Seminar,Comparative Ethnicity and Race.,M,08:35 am-10:25 am,Thomas Georg Soehl,LEA 808
SOCI,540,Seminar,Comparative Ethnicity and Race.,W,08:35 am-10:25 am,Thomas Georg Soehl,LEA 808
SOCI,545,Lecture,Sociology of Population.,W,01:05 pm-02:55 pm,Shelley Dawn Clark,TBA
SOCI,588,Seminar,Biosociology/Biodemography.,M,08:35 am-10:25 am,Aniruddha Das,LEA 834
SOCI,588,Seminar,Biosociology/Biodemography.,W,08:35 am-10:25 am,Aniruddha Das,LEA 834
SOCI,590,Seminar,Social Conflict and Violence.,M,12:35 pm-02:25 pm,Eran Shor,LEA 819
SOCI,590,Seminar,Social Conflict and Violence.,W,12:35 pm-02:25 pm,Eran Shor,LEA 819
SOCI,595,Seminar,Immigration Control and The State.,R,01:35 pm-03:25 pm,Jennifer Elrick,LEA 917
SOCI,600,Seminar,Qualitative Research Methods 1.,M,10:35 am-12:25 pm,Elaine Susan Weiner,LEA 808
SOCI,600,Seminar,Qualitative Research Methods 1.,W,10:35 am-12:25 pm,Elaine Susan Weiner,LEA 808
SOCI,620,Seminar,Quantitative Methods 2.,TR,08:35 am-09:55 am,Peter McMahan,MDHAR G-01
SOCI,625D2,Seminar,Professional Development Seminar in Sociology.,W,12:05 pm-12:55 pm,Peter McMahan,LEA 834
SOCI,625D2,Seminar,Professional Development Seminar in Sociology.,W,12:05 pm-12:55 pm,Peter McMahan,LEA 834
SOCI,625D2,Seminar,Professional Development Seminar in Sociology.,T,08:35 am-11:25 am,TBA,MCMED 208/9
SOCI,625D2,Seminar,Professional Development Seminar in Sociology.,T,08:35 am-11:25 am,TBA,MCMED 208/9
SURG,301,Field Course (GDEU),TCP Surgery.,M,09:00 am-10:29 am,TBA,000890 A2040B
